Date,IVIXTWN
2016-11-25,13.22
2016-11-28,13.37
2016-11-29,13.59
2016-11-30,13.37
2016-12-01,13.04
2016-12-02,14.31
2016-12-05,14.38
2016-12-06,12.95
2016-12-07,12.81
2016-12-08,12.88
2016-12-09,13.01
2016-12-12,13.69
2016-12-13,13.54
2016-12-14,13.61
2016-12-15,12.98
2016-12-16,12.91
2016-12-19,12.97
2016-12-20,12.61
2016-12-21,12.34
2016-12-22,12.63
2016-12-23,12.77
2016-12-26,12.79
2016-12-27,12.62
2016-12-28,12.01
2016-12-29,12.33
2016-12-30,12.25
2017-01-02,12.25
2017-01-03,12.29
2017-01-04,12.04
2017-01-05,11.28
2017-01-06,11.17
2017-01-09,11.53
2017-01-10,11.38
2017-01-11,11.46
2017-01-12,23.02
2017-01-13,11.54
2017-01-16,13.65
2017-01-17,13.84
2017-01-18,13.81
2017-01-19,12.69
2017-01-20,12.77
2017-01-23,12.44
2017-01-24,11.96
2017-01-25,11.96
2017-01-26,11.96
2017-01-27,11.96
2017-01-30,11.96
2017-01-31,11.96
2017-02-01,11.96
2017-02-02,13.78
2017-02-03,15.79
2017-02-06,12.97
2017-02-07,12.54
2017-02-08,12.26
2017-02-09,11.43
2017-02-10,11.54
2017-02-13,12.2
2017-02-14,12.41
2017-02-15,12.45
2017-02-16,12.66
2017-02-17,12.34
2017-02-20,12.04
2017-02-21,11.83
2017-02-22,11.89
2017-02-23,11.68
2017-02-24,11.9
2017-02-27,11.9
2017-02-28,11.9
2017-03-01,12.55
2017-03-02,12.36
2017-03-03,12.2
2017-03-06,12.01
2017-03-07,11.68
2017-03-08,10.91
2017-03-09,11.38
2017-03-10,10.98
2017-03-13,12.57
2017-03-14,11.96
2017-03-15,11.81
2017-03-16,10.32
2017-03-17,9.97
2017-03-20,10.53
2017-03-21,10.31
2017-03-22,10.86
2017-03-23,10.79
2017-03-24,11.07
2017-03-27,11.67
2017-03-28,11.59
2017-03-29,11.53
2017-03-30,12.05
2017-03-31,11.48
2017-04-03,11.48
2017-04-04,11.48
2017-04-05,11.63
2017-04-06,12.47
2017-04-07,12.37
2017-04-10,12.34
2017-04-11,13.64
2017-04-12,13.31
2017-04-13,12.67
2017-04-14,14.07
2017-04-17,13.33
2017-04-18,13.04
2017-04-19,13.22
2017-04-20,12.64
2017-04-21,12.03
2017-04-24,11.62
2017-04-25,11.12
2017-04-26,11.12
2017-04-27,10.83
2017-04-28,10.52
2017-05-01,10.52
2017-05-02,10.76
2017-05-03,10.78
2017-05-04,10.92
2017-05-05,11.41
2017-05-08,10.88
2017-05-09,11.16
2017-05-10,11.1
2017-05-11,11.62
2017-05-12,10.71
2017-05-15,11.41
2017-05-16,11.2
2017-05-17,11.25
2017-05-18,10.69
2017-05-19,10.76
2017-05-22,10.51
2017-05-23,10.1
2017-05-24,9.62
2017-05-25,9.49
2017-05-26,9.69
2017-05-29,9.69
2017-05-30,9.69
2017-05-31,10.43
2017-06-01,10.2
2017-06-02,9.82
2017-06-05,10.23
2017-06-06,10.13
2017-06-07,9.97
2017-06-08,10.21
2017-06-09,9.57
2017-06-12,10.5
2017-06-13,10.11
2017-06-14,10.83
2017-06-15,10.19
2017-06-16,9.64
2017-06-19,11.02
2017-06-20,9.86
2017-06-21,9.93
2017-06-22,10.02
2017-06-23,10.4
2017-06-26,12.17
2017-06-27,12.12
2017-06-28,12.52
2017-06-29,11.84
2017-06-30,12.33
2017-07-03,12.07
2017-07-04,12.1
2017-07-05,12.17
2017-07-06,12.23
2017-07-07,12.4
2017-07-10,12.31
2017-07-11,11.72
2017-07-12,11.8
2017-07-13,11.53
2017-07-14,11.19
2017-07-17,12.09
2017-07-18,12.1
2017-07-19,11.26
2017-07-20,10.48
2017-07-21,10.54
2017-07-24,10.58
2017-07-25,10.7
2017-07-26,10.2
2017-07-27,9.92
2017-07-28,10.5
2017-07-31,10.9
2017-08-01,10.26
2017-08-02,14.83
2017-08-03,10.96
2017-08-04,11.4
2017-08-07,11.33
2017-08-08,11.41
2017-08-09,12.15
2017-08-10,13.23
2017-08-11,14.38
2017-08-14,13.87
2017-08-15,13.05
2017-08-16,12.77
2017-08-17,11.98
2017-08-18,12.67
2017-08-21,13.03
2017-08-22,12.08
2017-08-23,11.75
2017-08-24,11.35
2017-08-25,11.29
2017-08-28,12.02
2017-08-29,12.66
2017-08-30,12.36
2017-08-31,12.6
2017-09-01,12.25
2017-09-04,13.28
2017-09-05,13.71
2017-09-06,14.05
2017-09-07,13.87
2017-09-08,13.8
2017-09-11,13.48
2017-09-12,12.49
2017-09-13,12.15
2017-09-14,11.62
2017-09-15,11.25
2017-09-18,12.29
2017-09-19,12.72
2017-09-20,12.49
2017-09-21,10.8
2017-09-22,11.74
2017-09-25,12.77
2017-09-26,12.85
2017-09-27,12.14
2017-09-28,11.86
2017-09-29,11.28
2017-10-02,10.52
2017-10-03,10.29
2017-10-04,10.29
2017-10-05,10.37
2017-10-06,10.36
2017-10-09,10.36
2017-10-10,10.36
2017-10-11,10.75
2017-10-12,10.38
2017-10-13,9.99
2017-10-16,11.47
2017-10-17,11.79
2017-10-18,11.77
2017-10-19,10.72
2017-10-20,11.12
2017-10-23,11.66
2017-10-24,11.16
2017-10-25,11.87
2017-10-26,11.85
2017-10-27,12.14
2017-10-30,12.09
2017-10-31,11.85
2017-11-01,11.64
2017-11-02,11.85
2017-11-03,11.82
2017-11-06,11.74
2017-11-07,11.13
2017-11-08,10.91
2017-11-09,10.82
2017-11-10,10.17
2017-11-13,10.39
2017-11-14,10.49
2017-11-15,10.95
2017-11-16,10.2
2017-11-17,9.44
2017-11-20,9.83
2017-11-21,9.17
